Campaign Name,Campaign ID,Type,Spent,Impressions,Clicks,Conversions,Actual CPA,Conversion Rate,Actual CPC,Estimated Daily Cap,CTR,CPM,Value,ROAS,Pacing
TB_297839_4113_8724049_Seabourn_Q&A Article_Q2_2026_PV,49732166,Native,339.13,"388,971","4,360",0,"'-",0%,0.078,0.00,1.12%,0.87,0.00,0%,
TB_297839_686504_Seabourn_Conversations_Digital Experiential_Q2_2026_Imp,49341967,Native,985.06,"730,289","27,858",0,"'-",0%,0.035,0.00,3.81%,1.35,0.00,0%,
TB_297839_Seabourn_Conversations_Digital Experiential_Q2 2026_Imp,48821646,Native,82.67,"775,787","3,167",0,"'-",0%,0.026,0.00,0.41%,0.11,0.00,0%,
TB_298460_4093_8667311_Coca-Cola_Q2_2026_PV,49318140,Native,609.82,"460,589","5,364",0,"'-",0%,0.114,0.00,1.16%,1.32,0.00,0%,
TB_298460_4093_Coca-Cola_Q2_2026_PV,49395081,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
TB_298756_4084_8670075_Humana_Centerwell Custom Articles_Q2_2026_PV,49144633,Native,"1,207.58","754,313","16,999",0,"'-",0%,0.071,0.00,2.25%,1.60,0.00,0%,
TB_298992_Hyatt-Alila-Renewal-2026_Q2_2026_Imp,49402200,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
TB_300327_4080_8680054_TIAA_Enterprise Campaign_Q2 2026_PV,48989291,Native,"2,811.95","1,536,015","33,997",0,"'-",0%,0.083,0.00,2.21%,1.83,0.00,0%,
TB_300327_7143_New-Model-Launch-EQS_Q2_2026_PV,49329387,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
TB_300327_7143_New-Model-Launch_Q2_2026_PV,49792689,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
TB_300327_7143_New-Model-Launch_Q3_2026_PV_test_july28th,50034604,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
TB_300327_7143_Test_New-Model-Launch_Q2_2026_PV,49546106,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
TB_300327_7143_Test_Toyota_Q3_2026_PV,49994113,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
TB_301139_4094_8716656_Rensselaer Polytechnic Institute_Q&A Article #1_Q2_2026_PV,49293463,Native,423.99,"349,361","7,581",0,"'-",0%,0.056,0.00,2.17%,1.21,0.00,0%,
TB_301139_4099_8716657_Rensselaer Polytechnic Institute_Q&A Article #2_Q2_2026_PV,49469516,Native,"1,722.96","1,415,618","20,128",0,"'-",0%,0.086,0.00,1.42%,1.22,0.00,0%,
TB_301139_4100_8716658_Rensselaer Polytechnic Institute_Q&A Article #3_Q2_2026_PV,49472510,Native,577.54,"477,641","10,188",0,"'-",0%,0.057,0.00,2.13%,1.21,0.00,0%,
TB_301139_4100_Q&A-Article-3_Q2_2026_PV,49680453,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
TB_301139_4100_Q&A-Article-3_Q2_2026_PV,49792661,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
TB_301139_4100_Test_Rensselaer Polytechnic Institute_Q&A Article #3_Q2_2026_PV,49744330,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
TB_309517_4116_8746302_Zoetis_Purple Strategies_Q3_2026_PV,49909420,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
TB_309517_4117_8746252_Zoetis_Opportunity_Purple Strategies_Q3_2026_VV,49911498,Native,217.04,"206,628","2,981",0,"'-",0%,0.073,0.00,1.44%,1.05,0.00,0%,
TB_4081_TeamViewer_TeamViewer 2026 Express_Q2 2026_PV,48955188,Native,"1,158.41","488,882","18,705",0,"'-",0%,0.062,0.00,3.83%,2.37,0.00,0%,
TB_Test_290919_4037_Deloitte-Monitor-Institute-Custom-Content_Q2_2026_PV,49491136,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
TB_Test_293330_4044_SMCH_via Cage Media_Reputation Management_Q2_2026,49458904,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
TB_Test_300327_7143_New-Model-Launch-EQS_Q2_2026_PV,49421850,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
Tb_292929_Wellcome Photography Prize - 2025_Dec_PV,47581104,Native,999.97,"501,647","7,996",0,"'-",0%,0.125,0.00,1.59%,1.99,0.00,0%,
Tb_293406_Clinique_Q4 2025_Digital_Dec_PV,47641008,Native,"2,039.60","741,967","12,076",0,"'-",0%,0.169,0.00,1.63%,2.75,0.00,0%,
